Country,Year,Value
European Union - 27 countries,2000,4014410
European Union - 27 countries,2001,3985520
European Union - 27 countries,2002,3920000
European Union - 27 countries,2003,3878220
European Union - 27 countries,2004,3808970
European Union - 27 countries,2005,3742530
European Union - 27 countries,2006,3711120
European Union - 27 countries,2007,3737690
European Union - 27 countries,2008,3626670
European Union - 27 countries,2009,3540020
European Union - 27 countries,2010,3490610
European Union - 27 countries,2011,3470210
European Union - 27 countries,2012,3464220
European Union - 27 countries,2013,3448600
European Union - 27 countries,2014,3487910
European Union - 27 countries,2015,3514190
European Union - 27 countries,2016,3523320
European Union - 27 countries,2017,3522120
European Union - 27 countries,2018,3465380
European Union - 27 countries,2019,3372740
European Union - 27 countries,2020,3322180
European Union - 27 countries,2021,3247720
European Union - 27 countries,2022,3046630
European Union - 27 countries,2023,3060550
Belgium,2000,89940
Belgium,2001,87160
Belgium,2002,84640
Belgium,2003,80400
Belgium,2004,75560
Belgium,2005,73930
Belgium,2006,73430
Belgium,2007,71740
Belgium,2008,69480
Belgium,2009,69800
Belgium,2010,70150
Belgium,2011,68140
Belgium,2012,68660
Belgium,2013,67280
Belgium,2014,66460
Belgium,2015,65670
Belgium,2016,65460
Belgium,2017,63580
Belgium,2018,63210
Belgium,2019,62620
Belgium,2020,62420
Belgium,2021,61600
Belgium,2022,59330
Belgium,2023,57670
Bulgaria,2000,51860
Bulgaria,2001,49680
Bulgaria,2002,53230
Bulgaria,2003,52120
Bulgaria,2004,58000
Bulgaria,2005,53230
Bulgaria,2006,52720
Bulgaria,2007,48710
Bulgaria,2008,52150
Bulgaria,2009,49170
Bulgaria,2010,50800
Bulgaria,2011,49710
Bulgaria,2012,49800
Bulgaria,2013,53630
Bulgaria,2014,57590
Bulgaria,2015,57190
Bulgaria,2016,58559
Bulgaria,2017,57340
Bulgaria,2018,57120
Bulgaria,2019,59410
Bulgaria,2020,57493
Bulgaria,2021,57699
Bulgaria,2022,58576
Bulgaria,2023,57492
Czechia,2000,79460
Czechia,2001,78149
Czechia,2002,78538
Czechia,2003,77548
Czechia,2004,74598
Czechia,2005,73978
Czechia,2006,73237
Czechia,2007,72997
Czechia,2008,70886
Czechia,2009,66564
Czechia,2010,64914
Czechia,2011,66516
Czechia,2012,66357
Czechia,2013,70029
Czechia,2014,72790
Czechia,2015,80312
Czechia,2016,80842
Czechia,2017,78842
Czechia,2018,75422
Czechia,2019,71592
Czechia,2020,69982
Czechia,2021,69352
Czechia,2022,69302
Czechia,2023,65061
Denmark,2000,96919
Denmark,2001,93820
Denmark,2002,91340
Denmark,2003,87660
Denmark,2004,87470
Denmark,2005,84610
Denmark,2006,80900
Denmark,2007,79600
Denmark,2008,79040
Denmark,2009,74200
Denmark,2010,75880
Denmark,2011,72200
Denmark,2012,70860
Denmark,2013,68880
Denmark,2014,69900
Denmark,2015,70690
Denmark,2016,71580
Denmark,2017,73360
Denmark,2018,72290
